iter	Logloss	Accuracy	Precision
376	0.3468772818	0.8574740594	0.8545447989
377	0.3467471305	0.8574502196	0.8545207587
378	0.3466305187	0.8575217389	0.8546866734
379	0.346458131	0.8577184168	0.8548040052
380	0.3463699927	0.8577720562	0.8548026537
381	0.3462989485	0.8578316556	0.8548115747
382	0.3461328835	0.8578554954	0.8547588726
383	0.3460355501	0.8579150947	0.8547933686
384	0.3459678888	0.8579270146	0.8547798092
385	0.3458432536	0.8580044938	0.8548877329
386	0.3457350855	0.858081973	0.8550127361
387	0.3456247639	0.8581356124	0.8550284128
388	0.3454473901	0.8582369313	0.8551347974
389	0.3453595176	0.8582786509	0.8551299146
390	0.3452834206	0.8583084506	0.8551130222
391	0.3451254068	0.8584395692	0.8552536754
392	0.3450349715	0.8585349282	0.8553583011
393	0.3449836894	0.8585110885	0.8553684261
394	0.3449092732	0.8585051285	0.8553923041
395	0.3448117255	0.8585945276	0.855512303
396	0.3447099374	0.8586302872	0.8555398034
397	0.3446333575	0.8586600869	0.8555484809
398	0.3445157758	0.8587375661	0.8556052088
399	0.3444408334	0.8587852456	0.8556276276
400	0.3443272384	0.858844845	0.8556022577
401	0.3442540173	0.8589044443	0.8556623034
402	0.3441350026	0.8589700036	0.8558266364
403	0.3440154437	0.8589700036	0.8557838981
404	0.3439212866	0.8589044443	0.8557221101
405	0.3438702671	0.8589700036	0.8557838981
406	0.3437971577	0.8589759636	0.8557856302
407	0.3437058971	0.8590057633	0.8558028369
408	0.3435885036	0.8591726415	0.8559282343
409	0.3434984919	0.8591905213	0.855907781
410	0.343407071	0.8592620406	0.8559456344
411	0.343287284	0.8592739604	0.8559319999
412	0.343224328	0.8593395197	0.8560023051
413	0.3431279502	0.8593097201	0.8559252857
414	0.3430306248	0.8593812393	0.8559887643
415	0.3429531659	0.8594289188	0.8560196855
416	0.3428609255	0.8595361977	0.8561448155
417	0.3427499232	0.8595481176	0.8561397191
418	0.3426857026	0.8596077169	0.8562168391
419	0.3426278012	0.8596673163	0.8562426483
420	0.3424416995	0.8598163147	0.8563969609
421	0.3423621724	0.8599235936	0.8564023183
422	0.3422763994	0.8599474334	0.8564605359
423	0.3421938297	0.8600249125	0.8565684933
424	0.3420958276	0.860167951	0.8567125129
425	0.3419647303	0.8602037107	0.8567913386
426	0.3419077827	0.8603050296	0.8568548145
427	0.3418190304	0.8602752299	0.8567948349
428	0.3416756275	0.8603229094	0.8568514029
429	0.3415573513	0.8603944287	0.8569405439
430	0.3414974043	0.8603944287	0.8569491119
431	0.3414140097	0.8603705889	0.8569336758
432	0.3413228473	0.8603944287	0.8569319764
433	0.3412036327	0.8604361482	0.8569954032
434	0.3411177634	0.8605732268	0.8571205684
435	0.3410374424	0.8606209063	0.8571857222
436	0.3409492157	0.860746065	0.8573417676
437	0.3408728559	0.8608056643	0.8574103638
